material_code,location,snapshot_date,qty,value
RM-1001,WH-NORTH,2026-02-01,279.0,892.8
RM-1001,WH-SOUTH,2026-02-01,186.0,595.2
RM-1001,WH-NORTH,2026-03-01,322.6,1032.32
RM-1001,WH-SOUTH,2026-03-01,215.1,688.32
RM-1001,WH-NORTH,2026-04-01,343.3,1098.56
RM-1001,WH-SOUTH,2026-04-01,228.8,732.16
RM-1001,WH-NORTH,2026-05-01,339.0,1084.8
RM-1001,WH-SOUTH,2026-05-01,226.0,723.2
RM-1001,WH-NORTH,2026-06-01,330.9,1058.88
RM-1001,WH-SOUTH,2026-06-01,220.6,705.92
RM-1001,WH-NORTH,2026-07-01,343.5,1099.2
RM-1001,WH-SOUTH,2026-07-01,229.0,732.8
RM-1001,WH-NORTH,2026-08-01,382.3,1223.36
RM-1001,WH-SOUTH,2026-08-01,254.9,815.68
RM-1001,WH-NORTH,2026-09-01,428.8,1372.16
RM-1001,WH-SOUTH,2026-09-01,285.8,914.56
RM-1002,WH-NORTH,2026-02-01,94.5,481.95
RM-1002,WH-SOUTH,2026-02-01,63.0,321.3
RM-1002,WH-NORTH,2026-03-01,109.3,557.43
RM-1002,WH-SOUTH,2026-03-01,72.9,371.79
RM-1002,WH-NORTH,2026-04-01,116.3,593.13
RM-1002,WH-SOUTH,2026-04-01,77.5,395.25
RM-1002,WH-NORTH,2026-05-01,114.8,585.48
RM-1002,WH-SOUTH,2026-05-01,76.5,390.15
RM-1002,WH-NORTH,2026-06-01,112.1,571.71
RM-1002,WH-SOUTH,2026-06-01,74.7,380.97
RM-1002,WH-NORTH,2026-07-01,116.3,593.13
RM-1002,WH-SOUTH,2026-07-01,77.6,395.76
RM-1002,WH-NORTH,2026-08-01,129.5,660.45
RM-1002,WH-SOUTH,2026-08-01,86.3,440.13
RM-1002,WH-NORTH,2026-09-01,145.2,740.52
RM-1002,WH-SOUTH,2026-09-01,96.8,493.68
RM-1003,WH-NORTH,2026-02-01,652.5,1141.88
RM-1003,WH-SOUTH,2026-02-01,435.0,761.25
RM-1003,WH-NORTH,2026-03-01,754.6,1320.55
RM-1003,WH-SOUTH,2026-03-01,503.0,880.25
RM-1003,WH-NORTH,2026-04-01,802.8,1404.9
RM-1003,WH-SOUTH,2026-04-01,535.2,936.6
RM-1003,WH-NORTH,2026-05-01,792.8,1387.4
RM-1003,WH-SOUTH,2026-05-01,528.5,924.88
RM-1003,WH-NORTH,2026-06-01,773.8,1354.15
RM-1003,WH-SOUTH,2026-06-01,515.9,902.82
RM-1003,WH-NORTH,2026-07-01,803.3,1405.77
RM-1003,WH-SOUTH,2026-07-01,535.5,937.12
RM-1003,WH-NORTH,2026-08-01,894.1,1564.67
RM-1003,WH-SOUTH,2026-08-01,596.0,1043.0
RM-1003,WH-NORTH,2026-09-01,1002.7,1754.73
RM-1003,WH-SOUTH,2026-09-01,668.5,1169.88
RM-1004,WH-NORTH,2026-02-01,135.0,128.25
RM-1004,WH-SOUTH,2026-02-01,90.0,85.5
RM-1004,WH-NORTH,2026-03-01,156.1,148.29
RM-1004,WH-SOUTH,2026-03-01,104.1,98.89
RM-1004,WH-NORTH,2026-04-01,166.1,157.79
RM-1004,WH-SOUTH,2026-04-01,110.7,105.16
RM-1004,WH-NORTH,2026-05-01,164.0,155.8
RM-1004,WH-SOUTH,2026-05-01,109.4,103.93
RM-1004,WH-NORTH,2026-06-01,160.1,152.09
RM-1004,WH-SOUTH,2026-06-01,106.7,101.36
RM-1004,WH-NORTH,2026-07-01,166.2,157.89
RM-1004,WH-SOUTH,2026-07-01,110.8,105.26
RM-1004,WH-NORTH,2026-08-01,185.0,175.75
RM-1004,WH-SOUTH,2026-08-01,123.3,117.13
RM-1004,WH-NORTH,2026-09-01,207.5,197.12
RM-1004,WH-SOUTH,2026-09-01,138.3,131.38
CP-2001,WH-NORTH,2026-02-01,81.0,194.4
CP-2001,WH-SOUTH,2026-02-01,54.0,129.6
CP-2001,WH-NORTH,2026-03-01,93.7,224.88
CP-2001,WH-SOUTH,2026-03-01,62.4,149.76
CP-2001,WH-NORTH,2026-04-01,99.7,239.28
CP-2001,WH-SOUTH,2026-04-01,66.4,159.36
CP-2001,WH-NORTH,2026-05-01,98.4,236.16
CP-2001,WH-SOUTH,2026-05-01,65.6,157.44
CP-2001,WH-NORTH,2026-06-01,96.1,230.64
CP-2001,WH-SOUTH,2026-06-01,64.0,153.6
CP-2001,WH-NORTH,2026-07-01,99.7,239.28
CP-2001,WH-SOUTH,2026-07-01,66.5,159.6
CP-2001,WH-NORTH,2026-08-01,111.0,266.4
CP-2001,WH-SOUTH,2026-08-01,74.0,177.6
CP-2001,WH-NORTH,2026-09-01,124.5,298.8
CP-2001,WH-SOUTH,2026-09-01,83.0,199.2
CP-2002,WH-NORTH,2026-02-01,5400.0,270.0
CP-2002,WH-SOUTH,2026-02-01,3600.0,180.0
CP-2002,WH-NORTH,2026-03-01,6244.7,312.24
CP-2002,WH-SOUTH,2026-03-01,4163.1,208.16
CP-2002,WH-NORTH,2026-04-01,6643.8,332.19
CP-2002,WH-SOUTH,2026-04-01,4429.2,221.46
CP-2002,WH-NORTH,2026-05-01,6561.3,328.07
CP-2002,WH-SOUTH,2026-05-01,4374.2,218.71
CP-2002,WH-NORTH,2026-06-01,6404.1,320.21
CP-2002,WH-SOUTH,2026-06-01,4269.4,213.47
CP-2002,WH-NORTH,2026-07-01,6647.7,332.38
CP-2002,WH-SOUTH,2026-07-01,4431.8,221.59
CP-2002,WH-NORTH,2026-08-01,7399.1,369.96
CP-2002,WH-SOUTH,2026-08-01,4932.7,246.63
CP-2002,WH-NORTH,2026-09-01,8298.4,414.92
CP-2002,WH-SOUTH,2026-09-01,5532.3,276.62
CP-2003,WH-NORTH,2026-02-01,15.8,292.3
CP-2003,WH-SOUTH,2026-02-01,10.5,194.25
CP-2003,WH-NORTH,2026-03-01,18.2,336.7
CP-2003,WH-SOUTH,2026-03-01,12.1,223.85
CP-2003,WH-NORTH,2026-04-01,19.4,358.9
CP-2003,WH-SOUTH,2026-04-01,12.9,238.65
CP-2003,WH-NORTH,2026-05-01,19.1,353.35
CP-2003,WH-SOUTH,2026-05-01,12.8,236.8
CP-2003,WH-NORTH,2026-06-01,18.7,345.95
CP-2003,WH-SOUTH,2026-06-01,12.5,231.25
CP-2003,WH-NORTH,2026-07-01,19.4,358.9
CP-2003,WH-SOUTH,2026-07-01,12.9,238.65
CP-2003,WH-NORTH,2026-08-01,21.6,399.6
CP-2003,WH-SOUTH,2026-08-01,14.4,266.4
CP-2003,WH-NORTH,2026-09-01,24.2,447.7
CP-2003,WH-SOUTH,2026-09-01,16.1,297.85
