PO No,Line,Material,Vendor,Order Qty,Received,Open Qty,Unit Price,ETA
PO-9001,10,RM-1001,SUP-001,2000,0,2000,3.1,2026-09-03
PO-9002,10,RM-1002,SUP-001,800,300,500,5.0,2026-09-10
PO-9003,10,CP-2003,SUP-002,150,0,150,18.2,2026-09-13
PO-9004,10,CP-2001,SUP-004,500,0,500,2.35,2026-09-18
PO-9005,20,RM-1003,SUP-003,2500,500,2000,1.7,2026-09-21
PO-9006,10,CP-2002,SUP-002,10000,0,10000,0.048,2026-09-24
PO-9007,10,RM-1004,SUP-003,1500,0,1500,0.92,2026-09-30
PO-9008,10,SA-3001,SUP-004,30,0,30,41.0,2026-10-05
PO-9009,10,CP-2003,SUP-002,120,0,120,18.6,2026-10-13
PO-9010,10,RM-1001,SUP-001,3000,0,3000,3.05,2026-10-25
PO-9011,10,CP-2004,SUP-004,500,0,500,1.15,2026-10-30
PO-9012,10,PK-4001,SUP-003,5000,0,5000,0.29,2026-09-17
PO-9013,20,RM-1002,SUP-004,600,0,600,5.25,2026-09-07
PO-9014,10,CP-2001,SUP-002,400,0,400,2.5,2026-10-20
